,Date,Open,High,Low,Close,Adj Close,Volumn
65,2014-06-30,126.00,127.00,125.00,126.50,96.06,33280000
64,2014-07-01,126.50,128.50,126.00,128.00,97.20,32922000
63,2014-07-02,129.50,132.50,129.00,132.50,100.61,51457000
62,2014-07-03,131.50,135.00,130.50,134.50,102.13,40176000
61,2014-07-04,133.50,136.00,132.00,135.00,102.51,44006000
60,2014-07-07,134.50,136.00,132.50,136.00,103.27,32123000
59,2014-07-08,135.50,136.00,134.00,134.50,102.13,36117000
58,2014-07-09,133.50,135.00,133.50,134.00,101.75,39145000
57,2014-07-10,134.50,136.00,134.50,134.50,102.13,47098000
56,2014-07-11,136.00,138.00,135.50,136.50,103.65,43144000
55,2014-07-14,134.50,134.50,132.50,132.50,102.87,46321000
54,2014-07-15,133.00,134.00,132.50,133.00,103.26,36989000
53,2014-07-16,133.00,133.50,130.00,130.50,101.32,39065000
52,2014-07-17,125.00,125.50,123.00,124.50,96.66,136198000
51,2014-07-18,121.50,124.00,121.50,123.50,95.89,95711000
50,2014-07-21,124.00,124.50,122.50,123.50,95.89,56612000
49,2014-07-22,123.50,125.00,122.50,124.50,96.66,53220000
48,2014-07-23,124.50,124.50,124.50,124.50,96.66,0
47,2014-07-24,124.50,125.00,124.00,125.00,97.05,65602000
46,2014-07-25,124.50,125.00,122.50,123.00,95.50,31299000
45,2014-07-28,122.00,122.50,121.00,121.50,94.33,43425000
44,2014-07-29,122.50,124.00,122.00,124.00,96.27,37994000
43,2014-07-30,123.50,125.00,123.00,124.50,96.66,32381000
42,2014-07-31,124.00,124.00,121.00,121.00,93.94,44748000
41,2014-08-01,120.00,121.00,119.50,120.00,93.17,52455000
40,2014-08-04,120.00,123.50,120.00,123.50,95.89,39633000
39,2014-08-05,122.50,122.50,119.50,119.50,92.78,61184000
38,2014-08-06,119.00,121.50,119.00,120.50,93.56,34561000
37,2014-08-07,120.50,121.50,119.50,121.50,94.33,29493000
36,2014-08-08,120.50,121.00,119.50,120.50,93.56,35075000
35,2014-08-11,120.00,121.00,119.50,120.50,93.56,42890000
34,2014-08-12,121.00,122.00,120.50,121.50,94.33,32237000
33,2014-08-13,121.00,123.50,120.50,122.50,95.11,39756000
32,2014-08-14,123.50,124.00,123.00,124.00,96.27,32907000
31,2014-08-15,124.50,125.00,123.00,124.00,96.27,19151000
